0,R,Y,C,I,pi,w,L,RE,LEV_F,LEV_E,S
Mar-93,-0.401348039,-2.214384934,-2.65477913,-11.75953983,0.05977738,-0.09226276,-1.37318996,-0.04879902,7.11067063,9.1305444,-0.03490196
Jun-93,-0.408848039,-2.633337562,-2.82920967,-10.84499581,-0.07249733,-0.69211653,-0.88458011,-0.06879902,8.50778611,9.1848659,-0.16490196
Sep-93,-0.396348039,-2.42333241,-2.13749197,-9.69868792,-0.07512722,-1.13125212,0.42801966,-0.25129902,4.37325691,9.0722344,-0.31490196
Dec-93,-0.428848039,-2.056105911,-2.27026218,-6.69980738,-0.07773033,-1.72841257,0.41596196,-0.16379902,0.95539049,9.0244204,-0.39490196
Mar-94,-0.333848039,-1.86637114,-2.01475266,-6.15159785,-0.08030709,-1.38059767,1.17886985,-0.05379902,2.94187763,8.623743,-0.52490196
Jun-94,-0.106348039,-1.056907009,-1.89795782,-4.5565254,-0.08285788,-2.44670827,1.87421325,0.076200981,4.76100523,8.065316,-0.63490196
Sep-94,0.013651961,-1.497144575,-2.25572805,-4.8075822,0.03953884,-3.63546125,1.58604539,0.158700981,1.45809725,7.3418796,-0.75490196
Dec-94,0.193651961,-1.220940645,-2.17548594,-3.26040526,-0.08850425,-3.91332824,2.7451218,0.188700981,1.35286461,7.1254936,-0.76490196
Mar-95,0.326151961,-1.520585331,-2.67694382,-1.67605978,0.03255974,-4.16123467,2.08460863,0.088700981,3.08562148,6.9730837,-0.67490196
Jun-95,0.331151961,-1.61133559,-2.23963773,-2.57992834,-0.21695109,-4.31934903,1.36891212,-0.11129902,2.80864551,6.5490932,-0.80490196
Sep-95,0.281151961,-1.700929143,-2.34956056,-2.60459137,-0.09583875,-4.75538501,1.11253505,-0.10379902,0.7362934,6.3627625,-0.63490196
Dec-95,0.231151961,-1.356496661,-2.07174574,-1.43053109,-0.09823582,-4.73486003,0.65939198,-0.21379902,0.07471339,6.3674285,-0.68490196
Mar-96,0.158651961,-1.603459769,-2.16334168,-0.73116052,0.02052912,-4.69112692,1.01926555,-0.07879902,-0.11950631,6.5163047,-0.61490196
Jun-96,0.148651961,-0.702412012,-1.92533139,0.80945384,-0.22409912,-4.56251217,2.19844455,0.013700981,-1.39729343,6.2814091,-0.64490196
Sep-96,0.156151961,-0.87248141,-2.43886251,1.81019083,-0.22540871,-4.58816159,2.56711991,0.001200981,-2.41173473,5.9791093,-0.72490196
Dec-96,0.153651961,-0.656070735,-2.56937107,1.99551718,-0.10702006,-5.17850744,2.37726884,-0.11379902,-3.87597553,5.2230949,-0.76490196
Mar-97,0.178651961,-0.890760889,-2.64086969,2.22202164,0.12850283,-5.56568263,3.0916609,-0.04129902,-1.74491548,4.5274555,-0.69490196
Jun-97,0.221151961,-0.079242926,-2.97174519,3.02698673,-0.34938925,-5.48030941,2.53081431,-0.08129902,-1.6453817,3.5023713,-0.69490196
Sep-97,0.216151961,0.401873238,-2.12461953,5.5232259,-0.23181728,-5.23000458,3.14531221,-0.16129902,-4.69021903,2.6893016,-0.60490196
Dec-97,0.206151961,0.389626336,-1.8371192,4.89840603,-0.2330718,-4.13869753,3.54348782,-0.25629902,-3.59834625,1.7776154,-0.67490196
Mar-98,0.203651961,0.844417413,-1.40495893,6.31679401,-0.46905937,-2.84502828,2.61445754,-0.25629902,-2.25055587,1.3352827,-0.58490196
Jun-98,0.221151961,1.154740059,-0.35770163,8.32517018,-0.35189539,-2.10994676,2.53837937,-0.30379902,-3.42820832,0.9461142,-0.58490196
